Cidade;Ano;Mês;HOMICÍDIO DOLOSO (2);Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO OUTROS;TENTATIVA DE HOMICÍDIO;LESÃO CORPORAL SEGUIDA DE MORTE;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;LESÃO CORPORAL CULPOSA - OUTRAS;LATROCÍNIO;Nº DE VÍTIMAS EM LATROCÍNIO;TOTAL DE ESTUPRO (4);ESTUPRO;ESTUPRO DE VULNERÁVEL;TOTAL DE ROUBO - OUTROS (1);ROUBO - OUTROS;ROUBO DE VEÍCULO;ROUBO A BANCO;ROUBO DE CARGA;FURTO - OUTROS;FURTO DE VEÍCULO
Santos;2023;Outubro;0;0;0;0;2;0;1;0;83;26;17;0;0;7;2;5;181;179;23;0;2;590;131
Santos;2023;Novembro;1;1;0;0;4;0;2;0;90;39;14;0;0;6;1;5;178;175;8;0;3;597;109
Santos;2023;Dezembro;2;2;0;0;2;0;2;0;100;57;14;1;1;11;5;6;188;185;23;0;3;504;104
Santos;2024;Janeiro;1;1;0;0;4;0;2;0;69;25;27;0;0;8;2;6;162;154;8;0;8;503;85
Santos;2024;Fevereiro;5;6;0;0;2;0;3;0;87;14;28;0;0;6;1;5;137;135;10;0;2;430;72
Santos;2024;Março;2;2;0;0;3;0;7;0;101;22;43;0;0;7;2;5;178;177;10;0;1;526;89
Santos;2024;Abril;0;0;0;0;2;0;4;0;91;36;22;0;0;7;1;6;173;170;5;0;3;579;105
Santos;2024;Maio;0;0;0;0;1;0;4;0;88;53;8;0;0;10;3;7;174;171;16;0;3;450;102
Santos;2024;Junho;0;0;0;0;1;0;4;1;89;39;3;0;0;1;1;0;127;125;13;0;2;427;99
Santos;2024;Julho;1;1;0;0;5;0;1;0;64;40;3;0;0;5;3;2;110;110;13;0;0;477;93
Santos;2024;Agosto;2;2;0;0;1;0;2;0;100;60;1;0;0;4;1;3;139;139;11;0;0;494;104
Santos;2024;Setembro;2;2;0;0;1;0;5;0;85;42;6;0;0;7;1;6;131;130;12;0;1;475;117
Santos;2024;Outubro;3;3;0;0;2;0;0;0;101;46;5;0;0;9;3;6;121;117;9;0;4;429;111
Santos;2024;Novembro;3;3;0;0;0;0;9;0;98;57;8;0;0;11;4;7;149;147;16;0;2;454;102
Santos;2024;Dezembro;0;0;0;0;3;0;4;0;108;52;8;0;0;8;3;5;130;126;17;0;4;413;101
São Vicente;2024;Janeiro;1;1;0;0;0;0;1;0;96;19;1;1;1;4;2;2;205;202;28;0;3;406;62
São Vicente;2024;Fevereiro;0;0;0;0;1;0;3;0;68;28;2;0;0;7;5;2;181;177;22;0;4;380;32
São Vicente;2024;Março;0;0;0;0;2;0;2;0;84;30;4;0;0;6;3;3;210;207;28;0;3;339;40
São Vicente;2024;Abril;2;2;0;0;3;0;3;0;66;38;1;0;0;6;1;5;195;190;34;0;5;298;40
São Vicente;2024;Maio;3;4;0;0;2;0;3;0;82;44;4;0;0;6;4;2;205;198;56;0;7;369;51
São Vicente;2024;Junho;1;1;0;0;2;0;3;0;71;29;1;0;0;10;3;7;186;182;64;0;4;335;51
São Vicente;2024;Julho;1;2;0;0;5;0;4;0;61;20;2;0;0;3;2;1;131;131;42;0;0;399;42
São Vicente;2024;Agosto;0;0;0;0;5;0;0;0;67;25;1;0;0;11;1;10;167;165;36;0;2;358;49
São Vicente;2024;Setembro;4;4;0;0;3;0;4;0;78;20;1;0;0;4;2;2;175;173;29;0;2;337;35
